id,predicted_pages
2663,"['天王星', '天衛三', '軌道', '磁層', '仲夏夜之夢_(消歧義)', '緹坦妮雅', '仲夏夜_(羅文專輯)', '夢', '作者']"
2399,"['信天翁科', '鳥', '北冰洋', '太平洋', '南太平洋', '牠', '翼展', '世界']"
8075,"['F._R._大衛', '主唱', 'Faye_Disc', '飛_(消歧義)', '詹雯婷', '吉他手', '吉他', '阿沁', '鍵盤手', '陳建寧']"
8931,"['香港國際機場', '24小時', '24_(電視劇)', '小時', '2001年', '機場', '世界', '宇宙']"
332,"['歷史', '黨委書記和校長列入中央管理的高校', '高等學校', '中央部屬高校', '校長', '中華人民共和國', '學校']"
2177,"['南京大學附屬中學', '南京大學', '中學', '江蘇省_(中華民國)']"
7551,"['毒魚豆', '萃取', '西', '印度', '原住民', '魚']"
4688,"['軟件開發', '版本控制', '系統工程', '軟件', '軟件測試', '活動']"
8496,"['國立臺灣大學應用力學研究所', '國立臺灣大學', '力學', '研究所', '1984年', '研究生', '理論', '美國國家工程院', '院士', '中央研究院院士']"
873,"['威廉·倫琴', '倫琴_(單位)', '威廉·維恩', '威廉·勞倫斯·布拉格', '威廉·亨利·布拉格', '電子', 'X射線']"
9059,"['幾何學', '數學', '世紀', '西方', '教育']"
7697,"['國立臺灣大學昆蟲標本館', '標本', '昆蟲', '國立臺灣大學']"
3397,"['湯姆·希林', '收入', '湯姆·克魯斯', '湯姆·班克斯', '湯姆·漢克斯']"
2782,"['阿爾伯特·愛因斯坦', '阿爾伯特·愛因斯坦', '漢斯·愛因斯坦', '阿爾伯特·愛因斯坦']"
7804,"['五虎', '虎', '上將', '人物', '一·二八事變', '黃忠', '蜀漢', '三國']"
8528,"['妙義山', '17世紀']"
6845,"['獎盃', '領域', '人物', '獎勵', '球_(數學)']"
8163,"['王禮', '朱一貴', '清朝政府', '清朝', '政府', '市場']"
1326,"['高建_(韓國)', '韓國政治', '政治人物']"
679,"['MSDOS', 'DOS', 'MSDOS', '微軟', 'MSDOS']"
6263,"['宜賓市', '酒', '烏魚子', '四川省', '市', '地級市']"
1609,"['冰淇淋', '乳']"
1610,"['冰淇淋', '五穀', '甜品']"
8414,"['中華民國法務部', '法務部矯正署臺北少年觀護所', '法務部矯正署', '中華民國', '土城區', '新北市', '臺灣', '法院']"
5399,"['阿托品', '靜脈', '靜脈注射']"
5063,"['木衛三十九', '希臘神話', '希臘', '神話', '女神', '一·二八事變', '名稱']"
7711,"['網球', '歐洲', '米夏埃爾·科爾曼', '米夏埃爾·科爾曼', '米夏埃爾·科爾曼', '米夏埃爾·施蒂希', 'ATP', '3月5日', '米夏埃爾·科爾曼', '雙打']"
1476,"['密碼學', '密碼', '量化_(信號處理)', '信息', '科學']"
6674,"['赤足', '家', '人字拖', '人', '習慣']"
7390,"['徐翔_(投資家)', '中國人', '中國', '人', '證券市場', '公安機關', '公安']"
8337,['桂皮']
8209,"['SETI@home', '計算']"
5160,"['鑽石', '硬度']"
692,['硫']
2251,"['八大山人', '宗室', '明朝', '輔國中尉', '中尉']"
7602,"['美國', '托馬斯·潘恩', '托馬斯·蒙塔古', '托馬斯·傑斐遜', '潘恩', '克里斯·潘恩', '作品', '教條', '人', '生日']"
5464,"['北冰洋', '北極圈', '冰', '中央', '海冰', '海水', '荷蘭', '冰山', '航運']"
2029,"['計算機科學', '數據壓縮', '圖像壓縮技術', '圖像壓縮']"
1059,"['單片機', '微處理器']"
6503,"['2019年', '智庫', '世界', '國家', '報告', '東京']"
7809,"['德魯大學', '1867年', 'J·D·德魯', '新澤西州', '大學', '森林']"
569,"['荷馬', '虛構', '人物', '史詩', '集', '人']"
4170,"['地震波', '地震', '反射', '次聲波', '聲波', '波', '檢測', '海嘯']"
5644,"['宗教', '新興宗教']"
8232,"['貴之富士三造', '富士', '日本', '本地人']"
2605,"['麻省理工學院', '世界大戰', '冷戰', '第二次世界大戰', '工程學', '應用科學', '科學']"
89,"['樂山大佛', '大佛', '唐朝']"
8176,"['中國社會科學院', '院長', '胡喬木', '喬木_(消歧義)']"
5678,"['香杏麗蘑', '杏_(演員)', '地方', '以前_以後', '中國內地', '內地', '中國']"
7248,"['伯茲克里克_(喬治亞州)', '喬治亞州', '喬治·赫伯特·沃克·布什', '喬治·羅傑斯·克拉克', '東部']"
5864,"['太陽系', '行星', '木衛二', '面_(幾何)']"
7730,"['伊拉克戰爭', '美國', '伊拉克', '戰爭', '醜聞', '政府', '2010年8月', '2010年']"
8696,"['蔡卓妍', '月', '兼職', '模特兒']"
2235,"['黑豹樂隊', '黑豹_(專輯)', '竇唯', '中國音樂', '中國', '搖滾']"
7422,"['盧卡斯·迪奧多斯基', '盧卡斯·波多爾斯基', '盧卡斯·巴里奧斯', '盧卡斯·奧坎波斯']"
4030,"['生物分類學', '分類學', '科_(生物)', '牛亞科', '動物', '不確定性', '確定性', '族']"
7720,"['臺灣省政府', '臺灣省', '政府', '功能']"
3314,"['慕容復', '武功']"
8823,"['地獄新娘_(1965年電影)', '臺語電影', '辛奇_(臺灣導演)', '1965年', '年', '導演', '辛奇·羅卡']"
4436,"['寒武紀大爆發', '寒武紀_(消歧義)', '世界', '地']"
8259,"['北海道', '世界大戰', '若竹町_(臺南市)', '行政區劃']"
6648,"['望遠鏡', '天文現象', '自然科學', '工具']"
6551,"['貓', '世界百大外來入侵種', '世界']"
3178,"['路易斯·伊納西奧·盧拉·達席爾瓦', '罷工', '政府']"
4698,"['日本', '日本鶺鴒', '生物分類學', '分類學', '屬', '鳥', '雀形目', '目_(生物)', '鶺鴒科', '科_(生物)']"
4514,"['航空交通管制', '航空', '交通管制', '工作', '飛機', '工作人員']"
5423,"['忒堤斯', '俄刻阿諾斯', '神', '妻子']"
5358,"['天衛三', '天衛四', '面_(幾何)', '撞擊坑', '隕石', '量_(物理)']"
8620,"['簡炳墀', '松柏塱', '練馬師', '香港', '現在', '圍村']"
1141,"['吳天威', '日本', '研究']"
1347,"['古蹟', '人']"
2133,"['豫劇', '名']"
7643,"['講談社', '講談社·中國的歷史', '2006年', '三年坂火之夢', '夢', '美洲', '榮譽']"
6421,"['袁隆平', '水稻', '突破', '2019年9月', '共和國勳章', '勳章']"
5181,"['李商隱', '唐詩', '詩人', '唐詩三百首']"
355,"['中國人民解放軍武漢軍區', '中國人民解放軍', '湖北省', '河南省_(中華民國)']"
6715,"['銀', '光澤_(礦物)', '投資型硬幣', '硬幣']"
8872,"['荷西·摩里納', '荷西·摩里納', '荷西·馬利', '荷西·坎諾', '奧莉花·荷西', '荷西·瓦爾迪茲', '荷西·安歷基·山齊士', '荷西·韋拿斯基斯', '臺灣', '臺灣織布']"
2300,"['獅子座', '恆星', '黃道帶', '黃道']"
3902,"['淮劇', '方言', '入聲', '語言學', '概念']"
3950,"['卡西尼', '喬瓦尼·多梅尼科·卡西尼', '亨利·卡西尼', '讓多米尼克·卡西尼', '塞薩爾弗朗索瓦·卡西尼·德·蒂裏', '雅克·卡西尼', '天文臺']"
5941,"['馴化', '人類', '雞', '雉科']"
8863,"['溫室氣體', '溫室', '碳氟化合物', '氟化合物', '化學鍵', '化學']"
1564,"['工業設計', '人因工程學', '工程學', '設計']"
7077,"['臺南避病院', '避病院', '法定傳染病', '法院']"
4943,"['馬關條約', '馬關', '兩國', '國', '中日修好條規', '中日', '甲午戰爭', '帝國', '朝鮮', '宗主權']"
3597,"['臺灣團結聯盟', '臺灣', '2020年', '2020', '年', '黨', '司機', '劉一德']"
5446,"['通用電氣', '通用電氣_GE36_渦輪槳扇發動機', '美國', '美國本土', '本土', '產業', '美洲', '地區']"
1494,"['伊斯蘭教法', '論語', '孔子', '人民', '行爲', '法律']"
3949,"['卡西尼', '喬瓦尼·多梅尼科·卡西尼', '亨利·卡西尼', '讓多米尼克·卡西尼', '塞薩爾弗朗索瓦·卡西尼·德·蒂裏', '雅克·卡西尼', '巴黎天文臺', '天文臺']"
994,"['伍迪·艾倫', '伍迪·艾倫獲獎與提名列表', '艾倫', '物']"
825,"['蔡英文', '選舉']"
2913,"['藤島康介', '卡通']"
7324,"['木衛三十八', '木星的衛星', '木衛三', '衛', '南極', '衛星', '木星']"
6937,"['龍之子製作', '龍', '子', '再造人卡辛', '人', '1993年']"
6729,"['利沃夫州', '利沃夫', '桑比爾區', '桑比爾', '區', '2020', '行政區劃', '改革', '舊桑比爾區', '舊桑比爾']"
4339,"['烏克蘭', '1933年']"
4708,"['天佑國王', '作者', '單聲', '文藝復興', '世紀', '宗教音樂', '宗教']"
2601,"['麻省理工學院', '世界大戰', '第一次世界大戰', '冷戰', '工程學', '應用科學', '科學', '技能']"
7022,"['鴟尾', '宋朝_(人物)']"
3553,"['流產', '胎兒', '死亡']"
2312,"['艾根訴加拿大案', '奧林·艾根', '曼弗雷德·艾根', '加拿大', '案', '行政機關', '配偶']"
6300,"['寒武紀大爆發', '寒武紀_(消歧義)', '世界', '生物']"
1466,"['王', '卡呂普索']"
4210,"['倫敦大學', '倫敦大學學院', '英國', '車站', '泰晤士高等教育世界大學排名', '泰晤士高等教育', '泰晤士', '高等教育', '教育', '大學排名']"
3776,"['人類', '火', '熱', '生態系統', '宇宙']"
7528,"['新北市區公車790路線', '新北市', '公車', '金山', '終點站_(消歧義)', '龜吼漁港']"
3486,"['自動步槍', '步槍', '輕機槍']"
7980,"['越南', '同性', '電視劇', '以你的心詮釋我的愛', '你', '心', '我的愛_(1986年電影)', '我的愛_我的夢_我的家', '我', '愛']"
1095,['泉州市']
3848,"['永嘉之亂', '永嘉_(東漢)', '亂', '五胡十六國', '胡', '六國_(諸侯國)', '國', '劉聰', '帝', '晉懷帝']"
884,"['佛教', '世界', '人']"
3607,"['保羅·狄拉克', '保羅·沃克', '柬埔寨', '理論物理學', '物理學家', '劍橋大學', '劍橋', '盧卡斯數學教授席位', '盧卡斯', '喬治·盧卡斯']"
1210,"['歐洲民族', '歐洲', '民族國家', '民族', '國家', '語言', '人']"
2764,"['數碼相機', '功能', '時間', '市場']"
8044,"['天主教會', '科隆']"
3796,"['茴芹屬', '茴芹', '植物', '少花茴芹', '花']"
1036,"['希臘神話', '希臘', '神話', '文明', '歐洲']"
2695,"['威爾斯王妃戴安娜', '戴安娜_(電影)', '戴安娜·瑞格', '戴安娜·艾嘉朗', '19世紀', '世紀']"
9038,"['崇義郡', '南北朝', '中國', '位置']"
5713,"['梅庵_(肇慶)', '博物館']"
974,"['吸血鬼', '學生']"
7601,"['法國', '托馬斯·潘恩', '托馬斯·蒙塔古', '托馬斯·傑斐遜', '潘恩', '克里斯·潘恩', '作品', '教條', '人', '葬禮']"
6895,"['三好市_(愛知縣)', '德島縣', '西祖谷山村', '以前_以後', '行政區劃']"
7536,"['加布艾萊西島', '大西洋', '海', '蘇格蘭', '村', '面積']"
297,['李賦寧']
360,"['中國人民解放軍武漢軍區', '中國人民解放軍', '1955年', '3月7日', '軍營']"
3107,"['西南_(索馬里聯邦成員州)', '阿曼', '阿曼蘇丹', '太平洋']"
5429,"['花旗銀行', '總部', '芝加哥', '城市', '人口']"
945,"['北阿坎德邦', '考試院', '奈尼塔爾']"
5041,"['蝗蟲', '農作物', '白蟻', '木材', '昆蟲', '人類']"
8326,"['苯乙烯', '乙烯', '氫', '苯', '烴', '芳香烴']"
1267,"['伍迪·艾倫', '伍迪·艾倫獲獎與提名列表', '艾倫', '2011年', '午夜巴黎', '巴黎', '背景', '幽靈']"
4926,"['漢趙', '劉淵', '匈奴', '南匈奴', '南', '君主制', '政權', '國']"
3352,"['燕山大學', '四川省_(中華民國)', '燕山_(消歧義)', '省部共建', '部', '大學', '面積']"
1796,"['總統', '憲法法院']"
60,"['朝廷', '金朝', '漢化', '漢姓', '姓', '漢', '漢服', '行爲', '現象']"
4903,"['朱棣文', '斯坦福', '小利蘭·斯坦福', '學生']"
7338,"['本傑明·富蘭克林', '富蘭克林·德拉諾·羅斯福', '第一人', '人', '本傑明·富蘭克林·巴特勒_(1795年)', '鳳凰城', '郵政']"
6678,"['赤足', '家', '拖鞋', '人', '動物', '習慣']"
4001,"['集合論', '德國', '數學家', '格奧爾格·康托爾', '格奧爾格·康托爾獎章', '奧地利', '哲學家', '路德維希·維特根斯坦', '卡爾·維特根斯坦', '保羅·維特根斯坦']"
5580,"['張學良', '一生', '亞洲', '地區']"
1093,['泉州市']
4084,"['高錳酸鉀', '錳酸鉀', '化學式', '水', '乙醇', '氧化劑']"
6338,"['馬耳他', '南歐', '國家', '島嶼', '地中海']"
6171,"['隋朝', '制度', '政策']"
298,"['李賦寧', '祖籍']"
7924,"['墨西哥國徽', '岩石', '仙人掌', '樹枝', '國徽', '墨西哥']"
1864,"['8頻道_(泰國)', '富士電視臺']"
7065,"['小行星9027', '行星', '太陽', '絕對星等', '星等', '絕對']"
7216,"['秋紅谷廣場', '暴雨']"
3322,"['喬治三世', '喬治·桑', '喬治·哈里森', '疾病', '油脂_(電影)']"
4817,"['民族學', '人類學', '分支', '人類']"
338,['學院']
531,[]
7379,"['臺灣總督府民政部', '臺灣總督府', '總督府', '臺灣', '民政部', '1919年']"
799,"['液體', '社會現象', '現象']"
2565,"['明憲宗', '商輅', '李賢_(大學士)', '土地']"
6167,"['王安石', '社會問題', '認識']"
8005,"['臺中市私立曉明女子高級中學', '臺中市', '中學', '教師']"
2479,"['物體', '速度', '音障', '聲爆', '爆炸', '飛機', '音速']"
5717,"['嘉興市', '域_(數學)', '地形', '運河']"
4570,"['哈比人歷險記', '哈比人', '哈比', '人', '魔戒', '前傳', '傳', 'J·R·R·托爾金', '克里斯托夫·托爾金', '伊迪絲·托爾金']"
5095,"['熱帶氣旋', '氣旋', '溫帶', '亞熱帶', '地區', '世界氣象組織', '日本', '氣象廳_(日本)', '颱風', '風']"
3090,"['美國南部', '南部', '美國']"
5136,"['1970年', '年', '中華人民共和國紡織工業部', '輕工業', '二輕工業', '1978年', '中華人民共和國', '北京市', '現在']"
3200,"['麻原彰晃', '真理國', '九州_(日本)', '日本', '人', '真理']"
3376,['殖民主義']
4222,"['工具', '人', '人類', '物種', '宗教', '哲學', '自然', '現象']"
7983,"['蝴蝶魚科', '桑吉巴蝴蝶魚', '鱸形目', '太平洋', '區']"
906,['行政法']
4385,"['空氣', '空氣污染', '物質狀態', '物質', '狀態', '氣體', '液體']"
179,"['SETI@home', '程序']"
3286,"['彌涅耳瓦', '羅馬女神', '女神', '羅馬', '哲學家', '神', '命運', '宇宙', '化身']"
4099,"['狄仁傑', '唐朝', '武周', '宰相', '大理寺', '小說', '公案小說', '公案_(消歧義)', '中國', '發展']"
8684,"['三國', '曹魏', '北', '政權', '曹', '魏', '人口', '領土']"
4028,"['釀造醋', '醋']"
4867,"['祭海節', '海', '節', '即墨區', '區', '油畫', '田橫']"
487,"['伍迪·艾倫', '伍迪·艾倫獲獎與提名列表', '艾倫', '喜劇中心']"
6349,"['鯡形目', '目', '大魚_(歌曲)', '魚', '獵物', '存活率']"
8737,"['漢科科柳山', '玻利維亞']"
5093,"['熱帶氣旋', '氣旋', '亞熱帶', '地區', '世界氣象組織', '日本', '氣象廳_(日本)', '颱風', '風', '詞']"
4034,"['生物分類學', '分類學', '科_(生物)', '牛亞科', '動物', '親屬', '族_(化學)']"
